
0.311, 0.672, 0.770, 0.465, 0.453
0.212, 0.596, 0.750, 0.381, 0.370
0.300, 0.625, 0.700, 0.434, 0.426
0.237, 0.632, 0.789, 0.406, 0.396
0.244, 0.634, 0.854, 0.409, 0.389
0.410, 0.769, 0.846, 0.574, 0.545
-C 0.25 -M 2 -A -Q 1
0.311, 0.672, 0.770, 0.465, 0.453
0.212, 0.596, 0.750, 0.381, 0.370
0.300, 0.625, 0.700, 0.434, 0.426
0.237, 0.632, 0.789, 0.406, 0.396
0.244, 0.634, 0.854, 0.409, 0.389
0.436, 0.769, 0.846, 0.587, 0.552
-C 0.1 -M 2 -A -Q 1
0.311, 0.672, 0.770, 0.465, 0.453
0.212, 0.596, 0.750, 0.381, 0.370
0.300, 0.625, 0.700, 0.434, 0.426
0.237, 0.632, 0.789, 0.406, 0.396
0.244, 0.634, 0.854, 0.409, 0.389
0.282, 0.744, 0.846, 0.442, 0.420
-C 0.2 -M 2 -A -Q 1
0.311, 0.672, 0.770, 0.465, 0.453
0.212, 0.596, 0.750, 0.381, 0.370
0.300, 0.625, 0.700, 0.434, 0.426
0.237, 0.632, 0.789, 0.406, 0.396
0.244, 0.634, 0.854, 0.409, 0.389
0.282, 0.744, 0.846, 0.442, 0.420
-C 0.3 -M 2 -A -Q 1
0.311, 0.672, 0.770, 0.465, 0.453
0.212, 0.596, 0.750, 0.381, 0.370
0.300, 0.625, 0.700, 0.434, 0.426
0.237, 0.632, 0.789, 0.406, 0.396
0.244, 0.634, 0.854, 0.411, 0.390
0.436, 0.769, 0.846, 0.587, 0.552
-C 0.4 -M 2 -A -Q 1
0.311, 0.672, 0.770, 0.465, 0.453
0.212, 0.596, 0.750, 0.381, 0.370
0.300, 0.625, 0.700, 0.434, 0.426
0.368, 0.658, 0.763, 0.508, 0.489
0.244, 0.634, 0.854, 0.411, 0.390
0.436, 0.769, 0.846, 0.587, 0.552
-C 0.5 -M 2 -A -Q 1
0.311, 0.672, 0.770, 0.465, 0.453
